x1,y1,z1
1,2,3
2,3,4
3,4,5
4,5,6
5,6,7
6,7,8
7,8,9
8,9,10
9,10,11
10,11,12
11,12,13
12,13,14
13,14,15
14,15,16
15,16,17
16,17,18
17,18,19
18,19,20
19,20,21
20,21,22
21,22,23
22,23,24
23,24,25
24,25,26
25,26,27
26,27,28
27,28,29
28,29,30
29,30,31
30,31,32
31,32,33
32,33,34
32,33,34
31,32,33
30,31,32
29,30,31
28,29,30
27,28,29
26,27,28
25,26,27
24,25,26
23,24,25
22,23,24
21,22,23
20,21,22
19,20,21
18,19,20
17,18,19
16,17,18
15,16,17
14,15,16
13,14,15
12,13,14
11,12,13
10,11,12
9,10,11
8,9,10
7,8,9
6,7,8
5,6,7
4,5,6
3,4,5
2,3,4
1,2,3
0,1,2
-1,0,1
